Date,Close,prob_up,signal,true_label,fwd_ret_5
2025-12-04,4211.7998046875,0.532518,1,1,0.01749850390098695
2025-12-05,4212.89990234375,0.5168621,1,1,0.020698378156098096
2025-12-08,4187.2001953125,0.5128135,1,1,0.028539356712339314
2025-12-09,4206.7001953125,0.51395357,1,1,0.023248579681641512
2025-12-10,4196.39990234375,0.50685954,1,1,0.036007077774417695
2025-12-11,4285.5,0.49499816,-1,1,0.01260063003150158
2025-12-12,4300.10009765625,0.49345535,-1,1,0.01425543668644158
2025-12-15,4306.7001953125,0.4872384,-1,1,0.03201985187959977
2025-12-16,4304.5,0.50391567,1,1,0.0414217225432687
2025-12-17,4347.5,0.52324104,1,1,0.030615318609833242
2025-12-18,4339.5,0.5281822,1,1,0.04369169205121559
2025-12-19,4361.39990234375,0.542569,1,0,-0.008322970949761532
2025-12-22,4444.60009765625,0.5421824,1,0,-0.016761912964742498
2025-12-23,4482.7998046875,0.54702926,1,0,-0.0350673047827994
2025-12-24,4480.60009765625,0.5447389,1,0,-0.03709328922244981
2025-12-26,4529.10009765625,0.5489985,1,0,-0.02035728805380399
2025-12-29,4325.10009765625,0.5537524,1,1,0.03632288134588646
2025-12-30,4370.10009765625,0.5333816,1,1,0.018123087632186285
2025-12-31,4325.60009765625,0.51231736,1,1,0.02868968347848222
2026-01-02,4314.39990234375,0.5151135,1,1,0.04077042145495002
2026-01-05,4436.89990234375,0.5125384,1,1,0.03772902387437749
2026-01-06,4482.2001953125,0.50429267,1,1,0.023872204573080147
2026-01-07,4449.2998046875,0.521118,1,1,0.03978154041530857
2026-01-08,4449.7001953125,0.514706,1,1,0.03744063691088728
2026-01-09,4490.2998046875,0.51895237,1,1,0.021847115320416277
2026-01-12,4604.2998046875,0.51568615,1,1,0.033729405024981896
2026-01-13,4589.2001953125,0.52889663,1,1,0.052863156770279085
2026-01-14,4626.2998046875,0.5248297,1,1,0.061063919747216255
2026-01-15,4616.2998046875,0.5243324,1,1,0.0779629586145052
2026-01-16,4588.39990234375,0.5320997,1,1,0.10707442756194685
2026-01-20,4759.60009765625,0.53811425,1,1,0.06729552864015265
2026-01-21,4831.7998046875,0.5362876,1,1,0.097230910211342
2026-01-22,4908.7998046875,0.5362832,1,1,0.08344200496119547
2026-01-23,4976.2001953125,0.5382336,1,0,-0.05271096070769676
